gid,created_at,title,current_price,original_price,image_url,rating,review_count,url,categories
www.walmart.com-ee2de5faed38987e639188d303e516df,2022-03-11T17:18:15.171701Z,Jurassic World: Fallen Kingdom (DVD),$5.95,$5.95,https://i5.walmartimages.com/asr/acbeee36-4e45-4595-8880-4da73e6845f3_1.4a3c557729b55fd53ec0698a9b85aab3.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.8,89,https://www.walmart.com/ip/Jurassic-World-Fallen-Kingdom-DVD/663454584,[Movies & TV Shows Movies Science Fiction Movies Action]
www.walmart.com-3c3829653d25347a8f44834a6712f90a,2022-03-11T16:49:38.669372Z,Magic Mike / Magic Mike XXL (DVD),$11.11,$11.11,https://i5.walmartimages.com/asr/0824594a-ba20-40d8-95ee-0ab18a72074e_1.0ead0c5c8186658a256481dbe6445eff.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.1,15,https://www.walmart.com/ip/Magic-Mike-Magic-Mike-XXL-DVD/55449386,[Movies & TV Shows Movies Action Movies Action Drama Movies]
www.walmart.com-0e98a11d21b834a08620bd377c25151a,2022-03-11T17:03:42.06566Z,The Swan Princess Trilogy (DVD),$11.05,$11.05,https://i5.walmartimages.com/asr/c6a09f34-d3a9-47ca-8601-2ffcf7d01cf7.6dd5db2c31842d102cf4736f83c1c7e5.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5.0,5,https://www.walmart.com/ip/The-Swan-Princess-Trilogy-DVD/41288701,[Movies & TV Shows Movies Documentaries All Documentaries]
www.walmart.com-1123c31071fcd935f4c432c6586d93aa,2022-03-11T17:39:47.456913Z,Lake Placid (Collector's Edition) (Blu-ray),$14.98,$14.98,https://i5.walmartimages.com/asr/4e3b320c-f004-4a7c-8b0b-cc8ccc6f402f_1.495223e7a18df33985bd1e68b146408b.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.9,8,https://www.walmart.com/ip/Lake-Placid-Collector-s-Edition-Blu-ray/37714979,[Movies & TV Shows Movies Horror Movies All Horror Movies]
www.walmart.com-9dddae8fb6df001b88086e0c0725168c,2022-03-11T17:44:38.76188Z,The Hunt (Blu-ray + DVD + Digital Copy),$8.99,$8.99,https://i5.walmartimages.com/asr/0a9c70e0-a321-4c6a-aa65-1ba16ea6da95.e7fbc882c0807e76ca836cf6a9be756e.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.2,21,https://www.walmart.com/ip/The-Hunt-Blu-ray-DVD-Digital-Copy/814243292,[Movies & TV Shows Movies Horror Movies All Horror Movies]
www.walmart.com-b7e73b157664340f7c9e949acbcf6740,2022-03-11T17:38:37.164644Z,Tyler Perry's Madea Goes to Jail (DVD),$8.76,$8.76,https://i5.walmartimages.com/asr/88efa470-d29b-43f9-8770-6e9ff48d1305_1.c8bb7d672e115be573215b2e8f097de3.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.6,41,https://www.walmart.com/ip/Tyler-Perry-s-Madea-Goes-to-Jail-DVD/11028217,[Movies & TV Shows Movies Romance Movies Romantic Comedies]
www.walmart.com-34ea75bc044b450e40ff4eceac22111f,2022-03-11T17:05:32.576282Z,Support Your Local Gunfighter (DVD),$11.99,$19.95,https://i5.walmartimages.com/asr/c6eef5b8-a833-4cb2-bbae-63d7611b0a5a_1.f9b666dba8f639a9c5e078ca6fe5c46a.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.8,4,https://www.walmart.com/ip/Support-Your-Local-Gunfighter-DVD/50349654,[Movies & TV Shows Shop Movies by Format DVD Movies]
www.walmart.com-82c91841d21957379b41f54ea2703710,2022-03-11T17:15:04.178513Z,Pokemon Lot of 100 Random Cards,$10.50,$10.50,https://i5.walmartimages.com/asr/6088aa0a-6702-4776-80b5-93a20edf53e7_1.7f35fd97369bde81630c7468019d52d0.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,3.8,41,https://www.walmart.com/ip/Pokemon-Lot-of-100-Random-Cards/148082063,[Toys Games & Puzzles Trading Cards Pokemon Cards Pokemon All Trading Cards]
www.walmart.com-f0c5f8d5129b6fd9aed11dc8cd4fee66,2022-03-11T16:57:07.478983Z,The 'Burbs (Blu-ray),$9.69,$14.98,https://i5.walmartimages.com/asr/299183de-d914-4e17-b20d-b6e1ab16b1fa_1.7cac0046789433f96b57a23fc4bb1fbf.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.8,4,https://www.walmart.com/ip/The-Burbs-Blu-ray/52161608,[Movies & TV Shows Movies Comedy Movies All Comedy]
www.walmart.com-c19ace469b55a7830584f48dcbb04dae,2022-03-11T16:52:04.293686Z,Tombstone (DVD),$7.63,$7.63,https://i5.walmartimages.com/asr/1d9bf986-df8b-4c33-ae76-62b9d75d64d0.e75c940eb168ca1ac0180367159505a3.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.6,142,https://www.walmart.com/ip/Tombstone-DVD/1194002,[Movies & TV Shows Shop Movies by Format DVD Movies]
